GPSlatitude,GPSlongitude
37.631678,126.708337
37.631678,126.708337
37.631678,126.708337
37.631678,126.708337
37.631678,126.708337
37.631678,126.708337
37.631678,126.708337
37.631708,126.708193
37.631708,126.708193
37.631708,126.708193
37.631708,126.708193
37.631708,126.708193
37.631708,126.708193
37.631708,126.708193
37.631708,126.708193
37.631708,126.708193
37.631708,126.708193
37.631733,126.70806
37.631733,126.70806
37.631733,126.70806
37.631733,126.70806
37.631733,126.70806
37.631733,126.70806
37.631733,126.70806
37.631733,126.70806
37.631733,126.70806
37.631733,126.70806
37.631752,126.707938
37.631752,126.707938
37.631752,126.707938
37.631752,126.707938
37.631752,126.707938
37.631752,126.707938
37.631752,126.707938
37.631752,126.707938
37.631752,126.707938
37.631752,126.707938
37.631768,126.707833
37.631768,126.707833
37.631768,126.707833
37.631768,126.707833
37.631768,126.707833
37.631768,126.707833
37.631768,126.707833
37.631768,126.707833
37.631768,126.707833
37.631768,126.707833
37.63178,126.707743
37.63178,126.707743
37.63178,126.707743
37.63178,126.707743
37.63178,126.707743
37.63178,126.707743
37.63178,126.707743
37.63178,126.707743
37.63178,126.707743
37.63178,126.707743
37.63179,126.707668
37.63179,126.707668
37.63179,126.707668
37.63179,126.707668
37.63179,126.707668
37.63179,126.707668
37.63179,126.707668
37.63179,126.707668
37.63179,126.707668
37.63179,126.707668
37.631797,126.707608
37.631797,126.707608
37.631797,126.707608
37.631797,126.707608
37.631797,126.707608
37.631797,126.707608
37.631797,126.707608
37.631797,126.707608
37.631797,126.707608
37.631797,126.707608
37.631803,126.707562
37.631803,126.707562
37.631803,126.707562
37.631803,126.707562
37.631803,126.707562
37.631803,126.707562
37.631803,126.707562
37.631803,126.707562
37.631803,126.707562
37.631803,126.707562
37.631808,126.707525
37.631808,126.707525
37.631808,126.707525
37.631808,126.707525
37.631808,126.707525
37.631808,126.707525
37.631808,126.707525
37.631808,126.707525
37.631808,126.707525
37.631808,126.707525
37.631812,126.707497
37.631812,126.707497
37.631812,126.707497
37.631812,126.707497
37.631812,126.707497
37.631812,126.707497
37.631812,126.707497
37.631812,126.707497
37.631812,126.707497
37.631812,126.707497
37.631813,126.707478
37.631813,126.707478
37.631813,126.707478
37.631813,126.707478
37.631813,126.707478
37.631813,126.707478
37.631813,126.707478
37.631813,126.707478
37.631813,126.707478
37.631813,126.707478
37.631815,126.707467
37.631815,126.707467
37.631815,126.707467
37.631815,126.707467
37.631815,126.707467
37.631815,126.707467
